pick_id,date_added,week_added,ticker,direction,entry_price,current_price,target_price,stop_price,conviction,time_horizon,sector,thesis,catalyst,account_risk_pct,status,date_closed,close_price,close_reason,realized_pnl_pct,instrument_type,strike,expiry,premium_paid,delta,gamma,theta_daily,vega_1pct,iv_used,break_even,leverage,entry_note,short_strike,spread_kind
8daf3257,2026-05-25,2026-W22,AMZN,long,266.32,265.29,315.28,250.0,3,medium,Consumer Discretionary,AWS is back in acceleration mode at 17 percent growth and the pipeline is still filling. The advertising business is quietly approaching 60 billion dollars a year at margins most software companies would dream of. Robotics in fulfillment is adding real margin every quarter. The sell side is too conservative here. Analyst mean target is 312 dollars versus current 266 and we think 315 is reachable in the next two months.,AWS re:Invent kicks off in June with the Trainium 3 chip reveal and major enterprise AI wins expected. Prime Day in July drives consumer sentiment. Q2 earnings in late July should show AWS guidance raised and advertising coming in above street estimates.,1.5,closed_target_hit,2026-05-31,8.05,exit_at_21_dte_in_profit,3.6,call,270.0,2026-06-18,7.77,0.47,0.0176,-0.19,0.283,0.3173,277.77,34.3,Buy Tuesday May 26 at the open. Use a limit order in the 264 to 267 range. Do not chase if the stock opens above 272. The June 20 call gives plenty of runway so there is no need to rush the entry. Avoid buying in the last 30 minutes of a big up day.,,
06cf565f,2026-05-25,2026-W22,JPM,long,306.38,306.74,352.54,291.0,3,medium,Financials,Financials have been completely left behind in this rally. XLF is down 4.7 percent this year while the S&P is up over 9 percent. That gap is historically extreme and it does not last. JPM is the best bank in the country right now. Rates near peak means net interest margin is at its best level in years. The investment banking pipeline has 800 billion in M&A waiting to close and credit quality is still clean. Analyst mean target is 342 dollars.,Q2 earnings in mid July. Expect a net interest margin beat given the rate environment and a positive surprise from investment banking fees. Every week rates stay elevated adds more to JPM income. The curve steepening is a tailwind the street is not fully pricing yet.,1.5,closed_manual,2026-05-31,299.31,rebalance_to_better_setups,-2.31,equity,,,,,,,,,,,Buy Tuesday May 26 at the open. Limit order near 305 to 307. This is a slow grind trade with no binary event risk this week. If JPM opens flat or slightly down on Tuesday that is your best entry. Do not buy if it gaps up more than 2 percent at the open.,,
23572ccd,2026-05-25,2026-W22,NVDA,long,215.33,214.86,258.99,201.0,4,medium,Technology,"Management raised full year guidance 18 percent above sell side consensus last quarter and the street is still not fully pricing in the Blackwell Ultra upgrade cycle. Microsoft, Meta, and Amazon have each committed 60 to 80 billion dollars in annual capex and most of it requires NVDA chips. H200 and GB200 are sold out for all of 2026. Analyst mean target is 295 dollars and we think that is conservative. Stop is placed below the 50 day moving average.",Earnings Wednesday May 28 after the close. This is the single most important event for the portfolio this week. Blackwell Ultra GPU sampling begins Q3. Hyperscaler capex acceleration announcements expected in H2 earnings calls.,2.0,closed_stop_loss,2026-05-31,4.8,stop_loss_and_theta_zone,-44.32,call,220.0,2026-06-18,8.62,0.465,0.0153,-0.211,0.228,0.4509,228.62,25.0,Buy Tuesday May 26 before the market close. Limit the call premium to the ask near 8.62. The call structure limits your loss to the premium paid regardless of what happens on earnings Wednesday. NVDA reports May 28 after the close. A beat and the call could be worth 25 to 40 dollars in one session. A miss and you lose the 862 dollar premium. Do not buy if NVDA gaps up more than 3 percent Tuesday morning.,,
1b9d59fe,2026-05-25,2026-W22,META,long,610.26,612.34,723.99,573.0,4,medium,Technology,The gap between where META trades and where analysts think it should be is the widest among all mega cap tech right now. Mean analyst target is 826 dollars versus current 610. The company buys back 50 billion dollars of stock every year which is 4 percent of the float mechanically. Llama 4 has driven a 20 percent engagement lift on Reels and Threads. WhatsApp Business has 200 million paying subscribers and monetization is still in the early innings. Operating margins are heading toward 42 percent.,Meta Connect on June 4 reveals Ray Ban 4 glasses and the Orion AR headset. Q2 earnings in July. The ongoing 50 billion dollar buyback provides a price floor on any dip.,2.0,closed_target_hit,2026-05-31,25.8,take_profit_before_theta_zone,49.65,call,620.0,2026-06-18,17.24,0.46,0.0077,-0.433,0.647,0.3173,637.24,35.4,Buy Tuesday May 26 at the open. Limit order near 608 to 612. The near term catalyst is Meta Connect on June 4 where the company shows new AR hardware. The call expires June 20 giving 15 days past the Connect event for the thesis to play out. Do not buy if META gaps up more than 3 percent at Tuesday open.,,
b05b0eb4,2026-06-02,2026-W23,CNC,long,59.6,65.19000244140625,65.0,55.0,3,medium,Health Care,"Managed-care insurer at 79th-percentile cheap value AND 85th-percentile momentum after a major drawdown. Composite score 100/100 in sector. Health Care is the ONLY sector with a CONSTRUCTIVE Claude outlook this week, all 10 others are CAUTIOUS. Two factors aligned (momentum + value), IV at 55th percentile, so a debit spread caps premium bleed while keeping defined upside on the bull thesis.",Mean-reversion play after recent ~30% drawdown. No earnings inside 30 days. CMS policy uncertainty appears priced in. Sector outlook is the only constructive one in our AI analysis.,11.6,closed_target_hit,2026-06-12,2.9,Hit target ($65); booked near stock ~$64,50.2591,call,60.0,2026-07-17,1.93,0.4,0.05,-0.04,0.06,43.5,61.93,3.0,BULL CALL SPREAD: BUY 60C / SELL 65C exp 2026-07-17 (47 DTE). Net debit $1.93 × 3 spreads = $579. Max profit $921 if CNC ≥ $65 at expiry. Exit at 75% of max profit OR 21 DTE. Stop at -50% of debit ($0.97).,65.0,bull_call
c55b6231,2026-06-02,2026-W23,CLX,short,90.02,96.81999969482422,80.0,95.0,3,medium,Consumer Staples,"Pure IV mean-reversion. CLX implied vol is at the 100th percentile of its 1-year range, literally the most expensive its options have been all year. Term structure backwardated (-2.4pts), meaning the market is pricing in event risk that probably won't materialize. Quant composite 2.8/100 (momentum 13, quality 17, clearly broken fundamentals). Claude sector analysis flagged CLX as the TOP SHORT in Consumer Staples.",Two-sided edge: directional weakness PLUS IV crush as vol reverts. Bear put spread captures both. Highest EV/$ of any pick this week (+$0.19).,6.3,closed_stop_loss,2026-06-14,0.9,closed_stop_loss,-71.43,put,90.0,2026-07-17,3.15,-0.35,0.04,-0.03,-0.04,31.5,86.85,3.2,BEAR PUT SPREAD: BUY 90P / SELL 80P exp 2026-07-17 (47 DTE). Net debit $3.15 × 1 spread = $315. Max profit $685 if CLX ≤ $80 at expiry. Highest EV/$ this week. Exit at 75% max profit OR 21 DTE. Stop at -50% of debit ($1.58).,80.0,bear_put
0bb9a629,2026-06-02,2026-W23,MO,short,69.58,71.94000244140625,72.0,74.0,2,medium,Consumer Staples,"INCOME / PREMIUM-SELL trade. MO has Claude SELL signal (6/10 confidence) and HIGH 10-K risk rating. Stock range-bound around $68-72 for weeks. Bear call sells the 72-strike with 75% probability of profit, best win-rate trade of the week. Collected upfront credit ($94) is locked in unless MO breaks above $72.47 breakeven.","Premium decay + tobacco-sector headwinds. Income-generation trade in our weekly book, high probability of small profit, defined max risk, complements the directional bets.",8.1,closed_manual,2026-06-14,0.65,closed_manual,-38.3,call,72.5,2026-07-17,-0.47,-0.2,-0.03,0.04,-0.06,20.0,72.47,2.0,BEAR CALL CREDIT SPREAD: SELL 72C / BUY 75C exp 2026-07-17 (47 DTE). Net credit $0.47 × 2 spreads = $94 collected. Max risk $406 if MO closes ≥ $75. POP 75%. Exit at 50% of max profit ($47) OR 21 DTE. Defend at 200% credit loss.,75.0,bear_call
f354899b,2026-06-14,2026-W25,BX,short,122.79000091552734,122.79000091552734,110.0,128.0,3,medium,Financials,"Blackstone trading rich on alt-asset bull thesis but the quant says different. Composite score 2.6/100 (bottom 3% of universe). Bearish institutional positioning: skew +8.5pts (puts are pricing in fear that hasn't shown up yet), term structure backwardated -4.6pts (front-month vol elevated for a reason). Insider selling at 17.8 score. Highest EV/$ trade of the week (+$0.34 per dollar risked) and Half-Kelly says 8.5% optimal sizing, matches Tier 2 cleanly.","Vol surface signals confirm bear thesis. Unlike the CLX miss two weeks ago, BX has both rich IV AND directional confirmation from skew/term structure. Insider flow negative. Sector rotation out of asset managers as rates uncertainty bites.",10.6,closed_target_hit,2026-06-29,8.23,21-DTE force-close; booked at take-profit (+56%),55.8712,put,125.0,2026-07-17,5.28,-0.3,0.04,-0.05,-0.05,43.0,119.72,3.0,BEAR PUT SPREAD: BUY 125P / SELL 110P exp 2026-07-17 (33 DTE). Net debit $5.28 × 1 spread = $528. Max profit $972 if BX ≤ $110 at expiry (1.8× R/R). Take profit at $9.00 (75% of max). Stop at $2.64 (-50% of debit). Force-close June 26 (21 DTE).,110.0,bear_put
8297ccc3,2026-06-14,2026-W25,SMCI,short,30.459999084472656,30.459999084472656,37.0,39.0,2,medium,Information Technology,"Highest-POP income trade of the week (81%). SMCI IV at the 93rd percentile, selling rich premium far OTM. Stock has been range-bound around $30 for weeks. Sell the 37C credit spread well above current price; max profit if SMCI stays below $37 through expiry. Tiny position ($252 max risk), pure income generation.","AI-server sentiment cooling, SMCI specifically has had multiple accounting overhangs. Far-OTM bear call captures elevated IV without much directional risk. POP 81% means we win 4 out of 5 of these statistically.",5.0,closed_target_hit,2026-06-29,0.29,21-DTE force-close; bought back near profit target (+40%),39.5833,call,37.0,2026-07-17,-0.48,-0.2,-0.04,0.03,-0.05,93.0,37.48,1.5,"BEAR CALL CREDIT SPREAD: SELL 37C / BUY 40C exp 2026-07-17 (33 DTE). Net credit $0.48 × 1 spread = $48 collected. Max risk $252 if SMCI ≥ $40 at expiry. Close at $0.24 buyback (50% of max profit, +$24). Stop if SMCI ≥ $37. Force-close June 26 (21 DTE).",40.0,bear_call
9b254486,2026-06-29,2026-W27,COIN,short,149.06,149.06,135.0,150.0,4,medium,Financials,"COIN is the single strongest short in the whole model this week (bottom 1% composite). Crypto-exchange names are rolling over as risk appetite drains, and momentum has completely broken (bottom decile). Defined-risk bear put: I profit if COIN drops below $143, max if below $135.","Risk-off rotation out of speculative financials, heavy insider selling, no earnings in the window. Highest-conviction directional short of the week.",14.0,closed_manual,2026-07-31,7.05,"21-DTE force-close (July 31), closed near breakeven",0.4274,put,150.0,2026-08-21,7.02,-0.30,0.01,-0.03,0.05,73.0,142.98,2.0,BEAR PUT SPREAD: BUY 150P / SELL 135P exp 2026-08-21 (54 DTE). Net debit $7.02 x 1 = $702. Max profit $798 if COIN <= $135 at expiry. Take profit at ~+75% of max. Stop at $3.51 (-50% of debit). Force-close July 31 (21 DTE).,135.0,bear_put
